"","x"
"407",-1086.3402975239
"408",-1092.59692631178
"409",-1111.45450206936
"410",-1126.4871762134
"411",-1129.75075354515
"412",-1096.48757189808
"413",-870.305366345935
"414",-599.162959237198
"415",-278.583891552418
"416",-551.436554208391
"417",-591.763824889395
"418",-411.783849895446
"419",-290.846997781193
"420",383.090609422924
"421",461.255346415489
"422",141.703452476096
"423",99.4636797488261
"424",92.1341342942783
"425",-467.213592978434
"426",-553.865865705722
"427",-946.716875806721
"428",-1234.3680417212
"429",-1074.49497595717
"430",-1026.50802256847
"431",-1131.72112282234
"432",-1211.04418296926
"433",-1209.93504741581
"434",-1114.4666791313
"435",-1018.99831084679
"436",-923.52994256228
"437",-828.06157427777
"438",-732.59320599326
"439",-637.124837708749
"440",-541.656469424239
"441",-446.188101139729
"442",-350.719732855219
"443",-255.251364570714
"444",-159.782996286204
"445",-64.3146280016931
"446",31.1537402828169
"447",126.622108567327
"448",222.090476851838
"449",317.558845136348
"450",413.027213420858
"451",508.495581705369
"452",603.963949989879
"453",699.432318274389
"454",794.900686558894
"455",890.369054843404
"456",985.837423127914
"457",1081.30579141242
"458",1176.77415969693
"459",1272.24252798145
"460",1302.13413429428
"461",1302.13413429428
"462",1302.13413429428
"463",1302.13413429428
"464",1302.13413429428
"465",1301.80686156701
"466",1295.52447520337
"467",1290.20610399125
"468",1286.31064323616
"469",1283.82973787103
"470",1282.79983846715
"471",1281.78150081664
"472",1281.13413429428
"473",1281.13413429428
"474",1281.13413429428
"475",1286.58986038637
"476",1289.13413429428
"477",1289.13413429428
"478",1289.13413429428
"479",1289.13413429428
"480",1289.13413429428
"481",1290.27869465195
"482",1293.73658457837
"483",1300.0342539115
"484",1298.11200510768
"485",1288.88816655234
"486",1283.67369658384
"487",1280.84919111246
"488",1279.27859452155
"489",1279.13413429428
"490",1273.05263571473
"491",1267.16289849882
"492",1262.19857807418
"493",1274.88487945076
"494",1293.74372597378
"495",1269.56141336995
"496",1239.20239546746
"497",1208.84337756498
"498",1178.48435966249
"499",1148.12534176
"500",1117.76632385751
"501",1087.40730595502
"502",1057.04828805253
"503",1026.68927015004
"504",996.330252247555
"505",965.971234345066
"506",935.612216442577
"507",905.253198540088
"508",874.894180637601
"509",844.535162735112
"510",814.176144832624
"511",783.817126930135
"512",753.458109027647
"513",723.099091125158
"514",692.740073222669
"515",662.38105532018
"516",632.022037417692
"517",601.663019515203
"518",571.304001612714
"519",540.944983710227
"520",510.585965807738
"521",480.22694790525
"522",449.867930002761
"523",431.134134294278
"524",433.220840396394
"525",445.257738759988
"526",454.117414845695
"527",450.126644624856
"528",484.134134294278
"529",-413.865865705722
